dataset,split,emd_first_middle_mean,emd_first_middle_std,emd_middle_last_mean,emd_middle_last_std,trajectory_count
lagrangebench_TGV,train,0.0013360363835381935,0.0008124991072026119,0.0015666102297216572,0.0008443519516156374,20
lagrangebench_TGV,test,0.0012965602734615798,0.0005162109121634461,0.001380057402613526,0.0005568099525846326,20
lagrangebench_TGV,valid,0.0011891521708528468,0.0005563829709343281,0.001382652299758934,0.0005943158433594602,20
SFBC_dataset_II,train,0.0038235404829722874,0.0005283370260634187,0.0011960010862656178,0.0006228335731403031,20
SFBC_dataset_II,test,0.0038388484564766115,0.0005148769410515567,0.0014951249965219886,0.0006325061278605208,16
SFBC_TGV,train,0.014490094474959189,0.01140629763486582,0.01703698444225871,0.015203759716039735,20
SFBC_TGV,test,0.012820568454729087,0.00787882811526502,0.012750777845143202,0.007876449733733224,20
